farm,Lat,Long,x,y,Ammonia,Methane,diesel_consump,coal_consump,elec_consump,hay_prod_ton,feed1_purch_ton
farm1 ,49.296279,119.845325,706864,5464288,122,995,300,8.5,2040,12.5,25
farm2,49.297195,119.845385,706865,5464390,102,830,500,9,2450,20,11.25
farm3,49.349567,120.149938,293015,5470224,172,1572,500,10,2000,25,11.25
farm4,49.349315,120.147322,292824,5470203,473,4655,400,8,2200,15,50
farm6,49.303967,119.913837,711812,5465332,209,1802,800,10,2800,30,6.25
farm8,48.97486,119.905645,712621,5428730,169,797,600,15,0,8,40
farm9,48.998326,119.771811,702733,5430972,404,3291,1000,10,3700,40.5,150
farm10,49.059848,119.768853,702267,5437802,58,479,400,7,2200,16.25,108
farm11,49.114324,119.669678,694810,5443597,143,1180,120,17,4300,10,70
farm14,48.521716,119.813659,707751,5378113,442,3610,600,25,6000,175,0
farm15,48.396193,119.778604,705670,5364067,352,3215,0,10,851.0638298,12.5,62.5
farm16,49.474071,118.554445,612611,5481319,155,1161,400,10,1695,0,75
farm17,49.472188,118.554456,612616,5481110,761,6453,600,11,3000,25,100
farm18,49.475254,118.548954,612210,5481443,995,7884,400,10,2600,8,240
farm20,49.638342,118.53023,610485,5499546,287,2250,400,10,900,0,112.5
farm21,49.509742,118.646905,619222,5485427,589,4669,200,15,2600,125,50
farm22,49.569801,118.743754,626078,5492262,376,1728,200,10,2600,60,114.5
farm23,49.543427,118.781885,628905,5489394,423,3434,600,12,2666.666667,100,100
farm24,49.476235,118.556445,612751,5481563,386,1986,200,12,900,0,100
farm26,49.48123,120.020806,284216,5485221,128,1118,400,9,2400,67.5,2
farm27,49.481335,120.021114,284239,5485231,59,521,1050,11,2400,82,0.3
farm30,49.481653,120.373027,309726,5484318,63,550,240,8,1002,13.5,22.5
farm31,49.480157,120.377769,310064,5484140,98,868,540,7,1400,67.5,40
farm35,49.449738,120.259574,301381,5481063,418,3759,2000,9,2000,125,12
farm39,49.449579,120.256751,301176,5481053,175,1582,180,7,500,44.5,5
farm40,49.447204,120.262007,301547,5480775,481,4303,2500,8,2089,450,56.25
farm41,49.513447,120.470637,316914,5487610,63,580,360,7,836,112.5,0.04
farm42,49.446042,120.176814,295368,5480874,270,2356,400,7,1337,144,15
farm43,49.443741,120.167621,294692,5480643,274,1636,2000,13.5,2500,145,11
farm44,49.444937,120.174166,295171,5480758,238,2140,413,8,770,159.4,10
farm45,49.450335,120.159278,294115,5481399,352,3091,4000,10,2000,105,137
farm46,49.580431,120.586075,325508,5494782,127,1242,120,8,2000,45,5
farm47,49.578404,120.589191,325726,5494549,139,1357,1000,10,2000,72,22.5
farm50,48.926134,119.770941,702962,5422946,163,1317,1200,10,2204,82.5,57.5
farm51,48.936884,119.771164,702935,5424141,191,1553,1200,15,12000,225,2
farm55,48.946368,119.975222,717835,5425761,546,4482,330,15,5013,300,7.5
farm56,48.854179,120.283278,300723,5414805,136,1189,2000,25,2400,100,0
farm57,48.8549555,120.2831855,300719,5414891,1031,9144,4180,12,2553,562.5,0
farm59,48.856614,120.305847,302388,5415016,44,385,200,7,1200,16.65,1.6
farm60,48.805546,120.159395,291435,5409732,473,4151,2400,15,3600,375,25
farm61,48.71003,119.81123,706801,5399035,452,3708,4000,10,2400,180,0
farm62,48.716523,119.803113,706177,5399735,78,634,1080,15,1671.309192,58.5,0.015
farm65,48.546829,120.004936,278965,5381413,185,1623,2000,10,2400,112.5,0
farm66,48.777053,119.85621,709830,5406608,284,2324,1400,10,480,225,0
farm68,48.54504,119.001123,647692,5378815,539,4020,325,15,2000,280,1
