farm,New_name,Lat,Long,x,y,Income,LV,GWPperRMB_upstream,GWPperRMB_onsite,GWPperRMB_total,GWPperLV_upstream,GWPperLV_onsite,GWPperLV_total,GWPperFM_upstream,GWPperFM_onsite,GWPperFM_total,MJperRMB,MJperLV,MJperFM,EUperRMB_upstream,EUperRMB_onsite,EUperRMB_total,EUperLV_upstream,EUperLV_onsite,EUperLV_total,EUperFM_upstream,EUperFM_onsite,EUperFM_total,WTperRMB_upstream,WTperRMB_onsite,WTperRMB_total,WTperLV_upstream,WTperLV_onsite,WTperLV_total,WTperFM_upstream,WTperFM_onsite,WTperFM_total
farm1 ,E1,49.296279,119.845325,706864,5464288,2.565,5.145,1.510011798,2.261223335,3.771235133,7.528047155,11.27315424,18.80120139,56946.09542,58000.37854,96732.18115,18.23534,90.91087872,467736.471,0.002090219,1.07E-06,0.002091289,0.010420625,5.33E-06,0.010425958,53.61411491,0.027440668,53.64155558,121.3739249,1.062013255,122.4359382,605.1003253,5.294585034,610.3949103,3113241.174,27240.64,3140481.814
farm2,E2,49.297195,119.845385,706865,5464390,2.82,3.7,0.957516032,1.959435874,2.916951906,7.297824893,14.93407882,22.23190371,27930.28214,55256.09164,82258.04374,14.24430443,108.5646986,401689.3849,0.001845092,1.03E-06,0.001846122,0.014062592,7.85E-06,0.014070445,52.03159045,0.029054825,52.06064528,81.36820976,1.532652482,82.90086224,620.1577068,11.6812973,631.8390041,2294583.515,43220.8,2337804.315
farm3,E3,49.349567,120.149938,293015,5470224,10.456,8.05,0.366613023,0.77034223,1.136955253,4.761870517,10.00583647,14.76770698,4168.226019,80546.98355,118880.0412,4.847748447,62.96653138,506880.5776,0.000576569,2.10E-07,0.000576779,0.007488951,2.73E-06,0.007491683,60.28605322,0.021991458,60.30804468,30.08914265,0.518717674,30.60786032,390.8224541,6.737530435,397.5599845,3146120.755,54237.12,3200357.875
farm4,E4,49.349315,120.147322,292824,5470203,25.4448,14.55,0.245337068,0.649800232,0.8951373,4.290414186,11.36359927,15.65401346,2196.103611,165340.3694,227765.8958,2.560062862,44.76995706,651402.8752,0.000240496,6.91E-08,0.000240565,0.004205753,1.21E-06,0.004206962,61.19370666,0.017593166,61.21129982,20.44982267,0.13616173,20.5859844,357.6231257,2.381173883,360.0042996,5203416.479,34646.08,5238062.559
farm6,E5,49.303967,119.913837,711812,5465332,6.5,9.85,0.290515711,1.356495153,1.647010864,1.917108753,8.951490855,10.86859961,4784.825322,88172.18492,107055.7061,6.231623175,41.12238643,405055.5064,0.000835024,4.97E-07,0.00083552,0.005510309,3.28E-06,0.005513587,54.27654743,0.032283139,54.30883057,31.49412424,1.006862769,32.500987,207.8292462,6.644272081,214.4735183,2047118.075,65446.08,2112564.155
farm8,S1,48.97486,119.905645,712621,5428730,18.65,12.2,0.081745898,0.397113531,0.478859428,1.249640155,6.070628973,7.320269128,391.4479375,74061.67348,89307.28336,2.627578821,40.16749591,490043.4502,0.000416296,NA,0.000416296,0.006363871,NA,0.006363871,77.63922726,NA,77.63922726,13.49758606,0.0982237,13.59580976,206.3360492,1.501534426,207.8375836,2517299.8,18318.72,2535618.52
farm9,S2,48.998326,119.771811,702733,5430972,28.35,17.3,0.319392749,0.468871089,0.788263838,5.233979438,7.683523338,12.91750278,2517.65754,132924.9537,223472.798,3.373552559,55.2833613,956402.1505,0.000305875,NA,0.000305875,0.005012463,NA,0.005012463,86.71561593,NA,86.71561593,32.18062911,0.311735309,32.49236442,527.3530839,5.108494798,532.4615787,9123208.352,88376.96,9211585.312
farm10,S3,49.059848,119.768853,702267,5437802,3.61,2.95,0.685494439,1.054284621,1.739779061,8.38859297,12.90158469,21.29017766,11926.08872,38059.67483,62806.02409,10.74534006,131.4938225,387906.7763,0.00116164,6.26E-07,0.001162266,0.014215327,7.66E-06,0.014222987,41.93521324,0.022598198,41.95781144,56.25516454,0.973314127,57.22847867,688.4106576,11.91072542,700.321383,2030811.44,35136.64,2065948.08
farm11,S4,49.114324,119.669678,694810,5443597,13.2,11.05,0.381247133,0.686916927,1.06816406,4.5542644,8.205704465,12.75996886,4072.344861,90673.03434,140997.656,5.987805042,71.52853082,790390.2656,0.00077534,4.16E-07,0.000775755,0.009261974,4.97E-06,0.009266941,102.3448169,0.054881337,102.3996983,43.52326355,0.16910303,43.69236658,519.9159085,2.020054299,521.9359628,5745070.789,22321.6,5767392.389
farm14,S5,48.521716,119.813659,707751,5378113,67.925,28.7,0.048163492,0.279930348,0.328093841,1.13989729,6.625180805,7.765078095,158.0214521,190142.6891,222857.7413,1.222475321,28.93262584,830366.3616,0.000190715,NA,0.000190715,0.004513708,NA,0.004513708,129.5434107,NA,129.5434107,5.575407851,0.555193522,6.130601373,131.9545569,13.13990244,145.0944593,3787095.783,377115.2,4164210.983
