farm,New_name,Lat,Long,x,y,upstreamAcid_RMB,onsitedieselAcid_RMB,onsitecoalAcid_RMB,onsiteanimalAcid_RMB,onsite_total_RMB,all_total_RMB,upstreamAcid_LV,onsitedieselAcid_LV,onsitecoalAcid_LV,onsiteanimalAcid_LV,onsite_total_LV,all_total_LV,Farm-level_upstream,Farm-level_onsite,Farm-level_all
farm1 ,E1,49.296279,119.845325,706864,5464288,1.74E-05,6.46E-07,5.42E-06,9.91E-06,1.60E-05,3.33E-05,8.66E-05,3.22E-06,2.70E-05,4.94E-05,7.97E-05,0.000166211,0.445309648,0.409848184,0.855157833
farm2,E2,49.297195,119.845385,706865,5464390,1.15E-05,9.79E-07,5.22E-06,7.55E-06,1.37E-05,2.53E-05,8.80E-05,7.46E-06,3.98E-05,5.75E-05,0.000104774,0.000192796,0.325679448,0.387664885,0.713344333
farm3,E3,49.349567,120.149938,293015,5470224,4.39E-06,2.99E-07,1.85E-06,1.13E-05,1.34E-05,1.78E-05,5.70E-05,3.88E-06,2.41E-05,0.000146375,0.000174331,0.000231327,0.458820285,1.403361011,1.862181296
farm4,E4,49.349315,120.147322,292824,5470203,3.36E-06,9.82E-08,6.09E-07,1.27E-05,1.34E-05,1.68E-05,5.87E-05,1.72E-06,1.07E-05,0.000222522,0.000234896,0.00029358,0.853850196,3.417733143,4.271583339
farm6,E5,49.303967,119.913837,711812,5465332,3.42E-06,6.80E-07,2.52E-06,6.71E-06,9.90E-06,1.33E-05,2.26E-05,4.49E-06,1.66E-05,4.43E-05,6.54E-05,8.79E-05,0.222360154,0.643740831,0.866100985
farm8,S1,48.97486,119.905645,712621,5428730,1.00E-06,1.76E-07,1.25E-06,2.30E-06,3.72E-06,4.72E-06,1.53E-05,2.69E-06,1.91E-05,3.51E-05,5.69E-05,7.21E-05,0.186429144,0.693767532,0.880196676
farm9,S2,48.998326,119.771811,702733,5430972,4.71E-06,1.93E-07,5.47E-07,3.61E-06,4.35E-06,9.07E-06,7.73E-05,3.16E-06,8.97E-06,5.92E-05,7.14E-05,0.00014862,1.336678467,1.234450994,2.57112946
farm10,S3,49.059848,119.768853,702267,5437802,9.90E-06,6.12E-07,3.17E-06,3.37E-06,7.16E-06,1.71E-05,0.000121187,7.49E-06,3.88E-05,4.12E-05,8.76E-05,0.00020875,0.357501979,0.258311363,0.615813341
farm11,S4,49.114324,119.669678,694810,5443597,5.17E-06,5.02E-08,2.11E-06,2.26E-06,4.41E-06,9.58E-06,6.18E-05,6.00E-07,2.52E-05,2.69E-05,5.27E-05,0.000114483,0.682569637,0.582462842,1.265032479
farm14,S5,48.521716,119.813659,707751,5378113,4.28E-07,4.83E-08,5.71E-07,1.65E-06,2.27E-06,2.70E-06,1.01E-05,1.14E-06,1.35E-05,3.91E-05,5.38E-05,6.39E-05,0.290550721,1.542862804,1.833413525
farm15,S6,48.396193,119.778604,705670,5364067,4.44E-06,0,1.15E-06,6.62E-06,7.77E-06,1.22E-05,3.33E-05,0,8.62E-06,4.96E-05,5.83E-05,9.15E-05,0.599353182,1.048530027,1.647883209
farm16,W1,49.474071,118.554445,612611,5481319,1.10E-05,3.48E-07,2.58E-06,5.08E-06,8.00E-06,1.90E-05,8.91E-05,2.83E-06,2.10E-05,4.14E-05,6.52E-05,0.000154308,0.695361569,0.508244284,1.203605853
farm17,W2,49.472188,118.554456,612616,5481110,2.51E-06,9.14E-08,4.96E-07,4.38E-06,4.97E-06,7.47E-06,2.15E-05,7.84E-07,4.26E-06,3.75E-05,4.26E-05,6.41E-05,0.909715041,1.799968232,2.709683273
farm18,W3,49.475254,118.548954,612210,5481443,5.30E-06,5.76E-08,4.26E-07,5.40E-06,5.89E-06,1.12E-05,4.18E-05,4.55E-07,3.37E-06,4.27E-05,4.65E-05,8.83E-05,2.033611687,2.258666811,4.292278498
farm20,W4,49.638342,118.53023,610485,5499546,1.68E-05,1.94E-07,2.87E-06,1.05E-05,1.36E-05,3.04E-05,6.44E-05,7.44E-07,1.10E-05,4.03E-05,5.21E-05,0.000116501,0.956347761,0.7736932,1.730040961
farm21,W5,49.509742,118.646905,619222,5485427,2.00E-06,4.45E-08,9.88E-07,4.94E-06,5.97E-06,7.97E-06,1.74E-05,3.86E-07,8.58E-06,4.29E-05,5.19E-05,6.93E-05,0.497297438,1.483999619,1.981297056
farm22,W6,49.569801,118.743754,626078,5492262,1.79E-06,5.57E-08,2.75E-07,1.32E-06,1.65E-06,3.44E-06,4.47E-05,1.39E-06,6.87E-06,3.29E-05,4.12E-05,8.59E-05,1.064944437,0.980071413,2.04501585
farm23,W7,49.543427,118.781885,628905,5489394,4.56E-06,5.69E-08,1.01E-06,4.55E-06,5.62E-06,1.02E-05,3.53E-05,4.40E-07,7.82E-06,3.51E-05,4.34E-05,7.87E-05,0.885535352,1.089606615,1.975141967
farm24,W8,49.476235,118.556445,612751,5481563,7.29E-06,1.64E-07,1.45E-06,5.96E-06,7.57E-06,1.49E-05,4.08E-05,9.17E-07,8.15E-06,3.34E-05,4.24E-05,8.33E-05,0.984431026,1.022453217,2.006884243
farm26,E6,49.48123,120.020806,284216,5485221,1.27E-06,1.45E-07,2.03E-06,1.02E-05,1.24E-05,1.36E-05,4.42E-06,5.07E-07,7.08E-06,3.55E-05,4.31E-05,4.75E-05,0.038043554,0.370793505,0.408837058
farm27,E7,49.481335,120.021114,284239,5485231,5.35E-06,1.85E-06,6.01E-06,1.14E-05,1.93E-05,2.46E-05,3.30E-05,1.14E-05,3.71E-05,7.04E-05,0.000118874,0.0001519,0.189901318,0.683522822,0.87342414
farm30,E8,49.481653,120.373027,309726,5484318,6.43E-06,3.53E-07,3.65E-06,1.02E-05,1.42E-05,2.06E-05,7.81E-05,4.28E-06,4.43E-05,0.000123449,0.000172032,0.000250166,0.273469923,0.602112407,0.87558233
farm31,E9,49.480157,120.377769,310064,5484140,8.96E-06,6.61E-07,2.66E-06,1.32E-05,1.65E-05,2.54E-05,7.62E-05,5.62E-06,2.26E-05,0.000111853,0.000140086,0.000216269,0.45709905,0.840513656,1.297612706
farm35,E10,49.449738,120.259574,301381,5481063,3.12E-06,7.73E-07,1.08E-06,1.77E-05,1.96E-05,2.27E-05,1.89E-05,4.68E-06,6.54E-06,0.000107293,0.000118515,0.00013741,0.504028313,3.161390285,3.665418598
farm39,E11,49.449579,120.256751,301176,5481053,7.78E-07,1.25E-07,1.51E-06,1.33E-05,1.50E-05,1.57E-05,9.21E-06,1.48E-06,1.79E-05,0.000157738,0.000177069,0.000186279,0.070001071,1.345721675,1.415722746
farm40,E12,49.447204,120.262007,301547,5480775,3.34E-06,1.73E-06,1.72E-06,3.66E-05,4.01E-05,4.34E-05,9.26E-06,4.80E-06,4.77E-06,0.000101358,0.000110932,0.000120192,0.300926093,3.605305587,3.906231681
farm41,E13,49.513447,120.470637,316914,5487610,5.92E-06,1.07E-06,6.46E-06,2.06E-05,2.81E-05,3.40E-05,3.11E-05,5.62E-06,3.39E-05,0.000108018,0.000147556,0.000178659,0.124411543,0.590224933,0.714636476
farm42,E14,49.446042,120.176814,295368,5480874,4.67E-06,3.62E-07,1.97E-06,2.68E-05,2.91E-05,3.38E-05,2.42E-05,1.88E-06,1.02E-05,0.000138921,0.000151,0.00017524,0.32238553,2.008304209,2.330689739
farm43,E15,49.443741,120.167621,294692,5480643,2.18E-06,5.90E-07,9.90E-07,7.09E-06,8.67E-06,1.09E-05,3.10E-05,8.41E-06,1.41E-05,0.000100941,0.000123432,0.000154453,0.576203872,2.292751494,2.868955366
farm44,E16,49.444937,120.174166,295171,5480758,4.19E-06,4.78E-07,2.87E-06,3.02E-05,3.35E-05,3.77E-05,1.19E-05,1.36E-06,8.16E-06,8.57E-05,9.53E-05,0.000107155,0.226013004,1.809939925,2.035952929
farm45,E17,49.450335,120.159278,294115,5481399,9.20E-06,1.42E-06,1.10E-06,1.37E-05,1.62E-05,2.54E-05,7.47E-05,1.15E-05,8.93E-06,0.000111037,0.00013148,0.000206132,1.619950129,2.853112796,4.473062924
farm46,E18,49.580431,120.586075,325508,5494782,2.56E-06,1.15E-07,2.38E-06,1.34E-05,1.58E-05,1.84E-05,2.78E-05,1.25E-06,2.58E-05,0.000144864,0.000171956,0.000199718,0.166573549,1.031733772,1.19830732
farm47,E19,49.578404,120.589191,325726,5494549,1.00E-05,1.49E-06,4.61E-06,2.26E-05,2.87E-05,3.88E-05,5.13E-05,7.62E-06,2.36E-05,0.000115993,0.000147245,0.000198515,0.420413,1.207413037,1.627826037
farm50,S7,48.926134,119.770941,702962,5422946,3.91E-06,4.34E-07,1.03E-06,2.73E-06,4.19E-06,8.11E-06,8.47E-05,9.39E-06,2.22E-05,5.92E-05,9.08E-05,0.000175547,0.591494076,0.633821762,1.225315837
farm51,S8,48.936884,119.771164,702935,5424141,2.44E-06,4.89E-07,1.74E-06,3.62E-06,5.85E-06,8.28E-06,3.24E-05,6.51E-06,2.31E-05,4.82E-05,7.78E-05,0.000110232,0.326359735,0.783673047,1.110032782
farm55,S9,48.946368,119.975222,717835,5425761,1.35E-06,9.11E-08,1.18E-06,7.00E-06,8.27E-06,9.61E-06,9.73E-06,6.58E-07,8.50E-06,5.06E-05,5.98E-05,6.95E-05,0.266597214,1.637058656,1.90365587
farm56,S10,48.854179,120.283278,300723,5414805,3.75E-06,1.88E-06,6.75E-06,9.94E-06,1.86E-05,2.23E-05,3.66E-05,1.83E-05,6.59E-05,9.71E-05,0.000181306,0.000217943,0.234473702,1.160360029,1.394833731
farm57,S11,48.8549555,120.2831855,300719,5414891,8.88E-07,6.87E-07,5.67E-07,1.32E-05,1.45E-05,1.53E-05,5.46E-06,4.23E-06,3.49E-06,8.12E-05,8.89E-05,9.44E-05,0.316880864,5.160624172,5.477505036
farm59,S12,48.856614,120.305847,302388,5415016,4.95E-06,7.34E-07,7.38E-06,1.25E-05,2.06E-05,2.56E-05,3.30E-05,4.89E-06,4.92E-05,8.35E-05,0.000137615,0.000170622,0.079217938,0.330275819,0.409493757
farm60,S13,48.805546,120.159395,291435,5409732,9.72E-07,2.94E-07,5.28E-07,4.51E-06,5.34E-06,6.31E-06,1.65E-05,5.00E-06,8.99E-06,7.68E-05,9.08E-05,0.000107365,0.465470604,2.555791696,3.021262299
farm61,S14,48.71003,119.81123,706801,5399035,4.91E-06,3.31E-06,2.35E-06,1.74E-05,2.30E-05,2.79E-05,1.46E-05,9.85E-06,6.99E-06,5.16E-05,6.84E-05,8.31E-05,0.324298178,1.519568912,1.84386709
farm62,S15,48.716523,119.803113,706177,5399735,2.34E-06,1.00E-06,3.96E-06,3.38E-06,8.34E-06,1.07E-05,3.00E-05,1.28E-05,5.06E-05,4.31E-05,0.00010658,0.000136546,0.137840556,0.490269669,0.628110225
farm65,S16,48.546829,120.004936,278965,5381413,1.79E-06,1.15E-06,1.65E-06,8.30E-06,1.11E-05,1.29E-05,1.49E-05,9.54E-06,1.37E-05,6.88E-05,9.21E-05,0.000106927,0.182859136,1.132345422,1.315204557
farm66,S17,48.777053,119.85621,709830,5406608,5.39E-07,3.40E-07,6.89E-07,3.20E-06,4.22E-06,4.76E-06,6.13E-06,3.86E-06,7.84E-06,3.64E-05,4.81E-05,5.42E-05,0.121432666,0.951792854,1.07322552
farm68,W9,48.54504,119.001123,647692,5378815,5.84E-07,7.66E-08,1.00E-06,5.89E-06,6.97E-06,7.56E-06,4.29E-06,5.62E-07,7.37E-06,4.33E-05,5.12E-05,5.55E-05,0.135412405,1.617535736,1.752948141
