farm,New_name,Lat,Long,x,y
farm1 ,E1,49.296279,119.845325,706864,5464288
farm2,E2,49.297195,119.845385,706865,5464390
farm3,E3,49.349567,120.149938,293015,5470224
farm4,E4,49.349315,120.147322,292824,5470203
farm6,E5,49.303967,119.913837,711812,5465332
farm8,S1,48.97486,119.905645,712621,5428730
farm9,S2,48.998326,119.771811,702733,5430972
farm10,S3,49.059848,119.768853,702267,5437802
farm11,S4,49.114324,119.669678,694810,5443597
farm14,S5,48.521716,119.813659,707751,5378113
farm15,S6,48.396193,119.778604,705670,5364067
farm16,W1,49.474071,118.554445,612611,5481319
farm17,W2,49.472188,118.554456,612616,5481110
farm18,W3,49.475254,118.548954,612210,5481443
farm20,W4,49.638342,118.53023,610485,5499546
farm21,W5,49.509742,118.646905,619222,5485427
farm22,W6,49.569801,118.743754,626078,5492262
farm23,W7,49.543427,118.781885,628905,5489394
farm24,W8,49.476235,118.556445,612751,5481563
farm26,E6,49.48123,120.020806,284216,5485221
farm27,E7,49.481335,120.021114,284239,5485231
farm30,E8,49.481653,120.373027,309726,5484318
farm31,E9,49.480157,120.377769,310064,5484140
farm35,E10,49.449738,120.259574,301381,5481063
farm39,E11,49.449579,120.256751,301176,5481053
farm40,E12,49.447204,120.262007,301547,5480775
farm41,E13,49.513447,120.470637,316914,5487610
farm42,E14,49.446042,120.176814,295368,5480874
farm43,E15,49.443741,120.167621,294692,5480643
farm44,E16,49.444937,120.174166,295171,5480758
farm45,E17,49.450335,120.159278,294115,5481399
farm46,E18,49.580431,120.586075,325508,5494782
farm47,E19,49.578404,120.589191,325726,5494549
farm50,S7,48.926134,119.770941,702962,5422946
farm51,S8,48.936884,119.771164,702935,5424141
farm55,S9,48.946368,119.975222,717835,5425761
farm56,S10,48.854179,120.283278,300723,5414805
farm57,S11,48.8549555,120.2831855,300719,5414891
farm59,S12,48.856614,120.305847,302388,5415016
farm60,S13,48.805546,120.159395,291435,5409732
farm61,S14,48.71003,119.81123,706801,5399035
farm62,S15,48.716523,119.803113,706177,5399735
farm65,S16,48.546829,120.004936,278965,5381413
farm66,S17,48.777053,119.85621,709830,5406608
farm68,W9,48.54504,119.001123,647692,5378815
