LandOcc,Type,Subtype,Subsubtype,Country_CF
Raw;land;Occupation, annual crop;;1;m2a,,,
Raw;land;Occupation, annual crop, (Sub)trop coniferous forest;;0;m2a,,
Raw;land;Occupation, annual crop, (Sub)trop dry br.leaf forest;;0.827806825;m2a,,
Raw;land;Occupation, annual crop, (Sub)trop grass savan & shrub;;0.927714545;m2a,,
Raw;land;Occupation, annual crop, (Sub)trop moist br.leaf for.;;0.770716699;m2a,,
Raw;land;Occupation, annual crop,,, AD;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, AE;;0;m2a
Raw;land;Occupation, annual crop,,, AF;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, AG;;0;m2a
Raw;land;Occupation, annual crop,,, AI;;0;m2a
Raw;land;Occupation, annual crop,,, AL;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, AM;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, AO;;0.927539551;m2a
Raw;land;Occupation, annual crop,,, AR;;0.897861242;m2a
Raw;land;Occupation, annual crop,,, AT;;0.94627046;m2a
Raw;land;Occupation, annual crop,,, AU;;1.053114778;m2a
Raw;land;Occupation, annual crop,,, AW;;0;m2a
Raw;land;Occupation, annual crop,,, AX;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, AZ;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, BA;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, BB;;0;m2a
Raw;land;Occupation, annual crop,,, BD;;0.770829121;m2a
Raw;land;Occupation, annual crop,,, BE;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, BF;;0.927714545;m2a
Raw;land;Occupation, annual crop,,, BG;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, BH;;0;m2a
Raw;land;Occupation, annual crop,,, BI;;0.890566695;m2a
Raw;land;Occupation, annual crop,,, BJ;;0.915227579;m2a
Raw;land;Occupation, annual crop,,, BL;;0;m2a
Raw;land;Occupation, annual crop,,, BN;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, BO;;0.792123448;m2a
Raw;land;Occupation, annual crop,,, Boreal forest and taiga;;0;m2a
Raw;land;Occupation, annual crop,,, BQ;;0;m2a
